model_name,family,priority,edge_candidate,export_tflite,used_optuna,parameter_count,val_auc_pr,val_auc_roc,val_f1,val_precision,val_recall,val_fp_per_hour,test_auc_pr,test_auc_roc,test_f1,test_precision,test_recall,test_fp_per_hour,threshold_from_val,model_path
tiny_tcn,neural_classifier,candidate,True,True,False,14897,0.9336696016536805,0.9761549498620363,0.883868915049316,0.9309651474530831,0.8413082980012114,2.874195798775289,0.9415702360285394,0.9799241347084544,0.8885066458170445,0.9266144814090019,0.8534094322619405,3.1360099113399666,0.8439759612083435,/home/vish8/tcc_atual/TCC/artefacts/models/tiny_tcn.keras
extra_trees,classical_supervised,interpretable_baseline,False,False,True,,0.9887964408224649,0.9873958333333334,0.9685534591194969,0.9746835443037974,0.9625,3.5999999999999996,0.9861504800328375,0.9840625,0.9554140127388535,0.974025974025974,0.9375,3.5999999999999996,0.32683682441711426,C:\Users\vish8\OneDrive\Documentos\GitHub\TCC\artefacts\models\extra_trees.joblib
tiny_cnn,neural_classifier,main_candidate,True,True,True,15129,0.8817116326961574,0.9604444713641564,0.8238448194291121,0.8594932543599868,0.7910357359176257,5.957677699403147,0.8940054383613919,0.9628809318781083,0.8283547438477016,0.8544061302681992,0.8038449984980475,6.355646753648999,0.7027741074562073,/home/vish8/tcc_atual/TCC/artefacts/models/tiny_cnn.keras
logistic_regression,classical_supervised,baseline,False,False,True,,0.9945064615525933,0.9942708333333333,0.9813664596273292,0.9753086419753086,0.9875,3.5999999999999996,0.9948070118522722,0.9961458333333334,0.9565217391304348,0.9506172839506173,0.9625,7.199999999999999,0.1814502328634262,C:\Users\vish8\OneDrive\Documentos\GitHub\TCC\artefacts\models\logistic_regression.joblib
random_forest,classical_supervised,interpretable_baseline,False,False,True,,0.98944644313742,0.9897916666666667,0.975,0.975,0.975,3.5999999999999996,0.9868448541886041,0.9853645833333333,0.9625,0.9625,0.9625,5.3999999999999995,0.2063376009464264,C:\Users\vish8\OneDrive\Documentos\GitHub\TCC\artefacts\models\random_forest.joblib
