number,value,datetime_start,datetime_complete,duration,params_base_filters,params_batch_size,params_conv_type,params_dense_units,params_dropout,params_head_pooling,params_kernel_first,params_kernel_other,params_l2_reg,params_label_smoothing,params_learning_rate,params_n_blocks,params_pos_multiplier,params_spatial_dropout,params_use_batch_norm,user_attrs_epochs_ran,user_attrs_fp_per_hour,user_attrs_params,user_attrs_val_auc_pr,user_attrs_val_f1,state
18,0.7293005585670471,2026-06-10 13:16:51.959484,2026-06-10 13:20:21.656538,0 days 00:03:29.697054,24,512,separable,0,0.27151082061163057,avgmax,21,3,2.4161960206003796e-07,0.04674821739221459,0.0006965081331429603,3,1.151872053379785,0.08993344865080583,True,,,5590,,,PRUNED
19,0.5682650804519653,2026-06-10 13:20:21.670028,2026-06-10 13:22:44.382183,0 days 00:02:22.712155,12,512,separable,16,0.40263952363920336,avg,21,3,7.134547254970882e-06,0.04710561285261103,0.000169299536994476,4,1.538681328655043,0.2822809092085192,False,,,4050,,,PRUNED
20,,2026-06-10 13:22:44.395867,2026-06-10 13:22:45.388445,0 days 00:00:00.992578,24,128,conv,16,0.3374829737129044,avgmax,11,3,1.5737233972424398e-06,0.048846063439751834,0.0025424939704009534,4,1.0887073728246959,0.17449694551085063,True,,,38889,,,PRUNED
21,,2026-06-10 13:22:45.403285,2026-06-10 13:22:46.395914,0 days 00:00:00.992629,24,512,conv,48,0.3168832953314514,avg,15,5,2.3255440595446147e-07,0.04822599689510377,0.0013115538340896283,3,1.401910209405463,0.111976931431867,False,,,27097,,,PRUNED
22,,2026-06-10 13:22:46.409465,2026-06-10 13:22:47.344137,0 days 00:00:00.934672,32,512,conv,64,0.2843932486735407,avg,11,3,2.998978309648032e-07,0.0417641732648003,0.0004929298862788933,3,1.0479372957867465,0.23145707351332667,True,,,31969,,,PRUNED
23,0.8956390747563403,2026-06-10 13:22:47.356799,2026-06-10 13:32:15.322193,0 days 00:09:27.965394,24,128,conv,16,0.11920581538433442,avg,11,3,5.656048972402333e-07,0.04261093331270166,0.00027917146847586166,3,1.1759253204494313,0.16066935223124745,True,80.0,8.1203007518797,15849,0.8267269654599363,0.7591054313099042,COMPLETE
24,0.6860703229904175,2026-06-10 13:32:15.342161,2026-06-10 13:33:35.048301,0 days 00:01:19.706140,16,128,conv,16,0.06034755249829776,avg,7,3,6.003985694804885e-07,0.040676269120747365,0.00029841011190052675,3,1.193217556513008,0.16586285696908096,False,,,7153,,,PRUNED
25,0.6625009179115295,2026-06-10 13:33:35.060726,2026-06-10 13:35:02.101678,0 days 00:01:27.040952,24,128,conv,32,0.0173062567756425,avg,11,3,1.017855903748911e-06,0.032606208231678306,0.0003542054140811501,3,0.9167592068393018,0.2789817827370997,True,,,17033,,,PRUNED
26,0.5720340609550476,2026-06-10 13:35:02.115430,2026-06-10 13:39:41.913393,0 days 00:04:39.797963,24,128,separable,48,0.13033248955175603,avg,11,3,6.172627031710999e-07,0.04359722495075231,0.00014103939654266204,3,1.2901992912537863,0.15519268091075547,True,,,8988,,,PRUNED
27,,2026-06-10 13:39:41.926312,2026-06-10 13:39:43.113611,0 days 00:00:01.187299,24,128,conv,16,0.10019059449922522,avg,15,3,1.597942252827233e-07,0.03238975529567006,0.00014810161766462676,4,1.6072609840738261,0.0649472312012414,True,,,37449,,,PRUNED
28,0.8587228018858145,2026-06-10 13:39:43.127202,2026-06-10 13:44:49.637803,0 days 00:05:06.510601,12,256,conv,64,0.42651232973239955,avg,21,3,3.19059942988456e-07,0.04195579911555326,0.0013012760150616207,4,1.2697769991001304,0.16148709802286065,False,50.0,9.920161227811798,12213,0.7937726322589602,0.7278491044539547,COMPLETE
29,0.6797239184379578,2026-06-10 13:44:49.653532,2026-06-10 13:46:14.100976,0 days 00:01:24.447444,24,512,conv,64,0.2664498829793909,max,15,3,1.9594391632819537e-06,0.04168965349474911,0.00018490153510764416,3,1.2981713935584118,0.13092153594061964,True,,,19497,,,PRUNED
30,0.7464498281478882,2026-06-10 13:46:14.118442,2026-06-10 13:47:19.339610,0 days 00:01:05.221168,12,512,conv,0,0.355053865857923,avg,21,7,1.752392613466709e-07,0.04765220551337727,0.0014474533591164968,3,1.4592021966248416,0.18318988854455995,True,,,8641,,,PRUNED
31,0.9303417179699032,2026-06-10 13:47:19.359278,2026-06-10 13:53:38.251318,0 days 00:06:18.892040,32,128,conv,16,0.020915914911376343,avgmax,11,7,1.1921685840062799e-06,0.035628460259725526,0.0005432169070519357,2,0.8940055354265939,0.11731071104652477,True,63.0,7.924967056817302,17153,0.8578635308359761,0.7947679850513859,COMPLETE
32,0.9232061004925727,2026-06-10 13:53:38.277137,2026-06-10 13:59:52.716555,0 days 00:06:14.439418,32,128,conv,16,0.03278026519260341,avgmax,11,7,6.462463569987112e-06,0.03815638231556319,0.0008777001931206243,2,0.839745504551615,0.14564325755983248,True,60.0,8.34353926052244,17153,0.8518278794768745,0.7865588052271313,COMPLETE
33,,2026-06-10 13:59:52.735089,2026-06-10 13:59:55.347967,0 days 00:00:02.612878,32,128,conv,16,0.022339099065993493,avgmax,11,7,4.061327601170414e-06,0.026587327502945266,0.001896220684821697,3,0.9492434769593829,0.13973267692814764,True,,,61569,,,PRUNED
34,0.9120270762189078,2026-06-10 13:59:55.361239,2026-06-10 14:05:29.670567,0 days 00:05:34.309328,32,256,conv,16,0.005245714659974383,avgmax,11,7,5.041247863749552e-06,0.03659110025835801,0.00045058185360047804,2,0.7203538537496998,0.15371592864809944,False,51.0,6.19486861483606,16865,0.8400222231363002,0.7782126549249837,COMPLETE
35,,2026-06-10 14:05:29.683055,2026-06-10 14:05:30.867139,0 days 00:00:01.184084,32,256,conv,16,0.028514516422287937,avgmax,11,7,6.494515911628439e-07,0.04662250454847097,0.00018595568330764424,3,0.8111298657088281,0.1393714972340778,False,,,60993,,,PRUNED
